"<div class=""floa-payment-logo""></div><div class=""floa-payment-text"">With the FLOA PAY solution, your customers can easily split their purchase into monthly payments while you receive funding upfront and in full.<br />Quick and easy to use, the FLOA PAY is a secure, paperless payment solution which works as simply as paying with a credit card at a point of sale.</div>","<div class=""floa-payment-logo""></div><div class=""floa-payment-text"">Mit der Zahlungslösung FLOA Pay können Sie Ihren Kunden die Ratenzahlung anbieten, während Sie sofort den Gesamtbetrag der Transaktion finanziert bekommen.<br /> FLOA Pay ist eine einfache, schnelle, papierlose und sichere Zahlungslösung, für die Sie Ihre Kreditkarte nicht wechseln müssen.</div>"
"You can find more informations on website <a href=""https://floapay.readme.io/reference"" target=""_blank"">ReadMe FLOA Pay</a> about merchant configuration.", "Weitere Informationen zur Händlerkonfiguration finden Sie auf der Webseite <a href=""https://floapay.readme.io/reference"" target=""_blank"">Lesen Sie mich FLOA Pay</a>."
"Merchant Login","Händler-ID"
"Merchant Password","Kennwort Händler"
"Merchant Code","Händler-Code"
"Environment","Umgebung"
"Payment methods","Zahlungsmethoden"
"Payment in 1 deferred monthly payment","Zahlung in 1 Monatsraten mit Aufschub"
"Payment in 3 monthly installments","Zahlung in 3 Monatsraten"
"Payment in 4 monthly installments","Zahlung in 4 Monatsraten"
"Payment in 10 monthly installments","Zahlung in 10 Monatsraten"
"Production","Produktion"
"Integration","Integration"
"Merchant Site ID","Shop-Code"
"Report mode","Aufschubart"
"Report delay", " Aufschubfrist"
"Customer", " Kunde"
"Merchant", " Händler"
"Your transaction", " Ihre Transaktion"
"Total amount", " Betrag insgesamt"
"including", "davon"
"of fees", "Gebühren"
"Your payment schedule", " Ihr Ratenzahlungsplan"
"no fees", "keine Gebühren"
"At", "Der"
"Between", " Zwischen dem"
"and", "und dem"
"Desired payment date", " Gewünschtes Zahlungsdatum"
"Your payment date must be between the day after your purchase and 30 days later.", " Ihr Zahlungsdatum muss zwischen dem Tag nach dem Kauf und 30 Tage später liegen."
"By validating this information, you have used your respected data with a final assessment of your eligibility for payment in severals installments.", " Indem Sie diese Informationen bestätigen, erklären Sie sich damit einverstanden, dass Ihre Daten zur Überprüfung Ihrer Berechtigung zur Ratenzahlung verwendet werden."
"Please complete this information to verify your eligibility.", " Bitte füllen Sie diese Informationen für die Überprüfung Ihrer Berechtigung aus."
"More information here", " Weitere Informationen finden Sie hier"
"Civility", " Ihre Anrede"
"M.", "Herr"
"Mrs", "Frau"
"Birth name", " Ihr Nachname"
"Your maiden name should not exceed 64 characters", " Ihr Nachname darf nicht länger als 64 Zeichen sein."
"Phone number", " Ihre Telefonnummer"
"Your date and postal code of birth", " Ihr Geburtsdatum und die Postleitzahl Ihres Geburtsortes"
"Your birth date must be valid in the format « DD/MM/YYYY » and your birth postal code must consist of 5 digits without spaces (99 in the case of a foreign country)", "Ihr Geburtsdatum muss gültig sein und im Format TT/MM/JJJJ geschrieben werden und die Postleitzahl Ihres Geburtsortes muss aus 5 Ziffern ohne Leerzeichen bestehen (99 im Falle eines Geburtsortes im Ausland)."
"Your birth postal code must consist of 5 digits without spaces.", "Die Postleitzahl Ihres Geburtsortes muss aus fünf Ziffern ohne Leerzeichen bestehen (99 im Falle eines Geburtsortes im Ausland)."
"Phone number is invalid.", "Die Telefonnummer ist ungültig."
"Civility is invalid.","Die Anrede ist ungültig."
"Birth date is invalid.","Das Geburtsdatum ist ungültig."
"Your postal code of birth must be composed of 5 digits without spaces (99 in the case of a country of birth abroad)","Die Postleitzahl Ihres Geburtsortes muss aus fünf Ziffern ohne Leerzeichen bestehen (99 im Falle eines Geburtsortes im Ausland)."
"Please enter a valid phone number.","Bitte geben Sie eine gültige Telefonnummer ein."
"You must be over 18 years old.","Sie müssen über 18 Jahre alt sein."
"Maiden name is invalid.","Der Nachname ist ungültig."
"Payment date is invalid."," Das Zahlungsdatum ist ungültig."
"An error has occurred, please try again in a few moments...","Es ist ein Fehler aufgetreten. Bitte versuchen Sie es in Kürze erneut..."
"Sorry, your financing request was not accepted by Floa Bank.","Ihr Finanzierungsantrag wurde leider nicht von der Floa Bank angenommen."
"The financing is fully managed by Floa Bank which reserves the right of refusal according to its own rules.","Die Finanzierung wird vollständig von der Floa Bank verwaltet, die sich das Recht auf Ablehnung nach ihren eigenen Regeln vorbehält."
"The reason for refusal cannot be be communicated to you because of banking secrecy.","Der Grund für die Ablehnung kann Ihnen aufgrund des Bankgeheimnisses nicht mitgeteilt werden."
"Successfully created Floa Bank Payment. Redirecting customer & awaiting payment return.","Floa-Zahlung erfolgreich erstellt. Weiterleitung des Kunden und Warten auf Zahlungsbestätigung."
"Payment captured","Zahlung erfasst"
"Payment anthorization accepted","Zahlung autorisiert"
"Capture payment required","Zahlungserfassung erforderlich"
"Order payment refused","Zahlung verweigert"
"Order is canceled","Die Bestellung wurde abgebrochen."
"There was an error when validating your payment. Please try again or contact us if the problem persists.","Bei der Bestätigung Ihrer Zahlung ist ein Fehler aufgetreten. Bitte versuchen Sie es noch einmal oder kontaktieren Sie uns, wenn das Problem weiterhin besteht."
"Bad request","Ungültige Anfrage"
"No schedules found...", "Ratenzahlungsplan nicht gefunden..."
"Rank","Fälligkeitsdatum"
"Date","Datum"
"Due amount", "Betrag"
"State", "Status"
"Fees amount", "Betrag der Gebühren"
"FLOA Pay order reference", "Referenz FLOA Pay"
"FLOA Pay Payment information", "Informations de paiement FLOA Pay"
"This is a required field.", "Dieses Feld ist erforderlich."
"Technical error on Floa Bank payment validation", "Technischer Fehler bei der Bestätigung der FLOA-Zahlung."
"PLEASE NOTE, payment capture has not yet been performed for this order.","ACHTUNG, die Zahlung dieser Bestellung wurde noch nicht erfasst."
"Capture payment","Erfassen der Zahlung"
"Make refund","Eine Rückerstattung vornehmen"
"Refunds","Rückerstattungen"
"Schedules","Ratenzahlungsplan"
"Order successfully captured.", "Zahlungserfassung erfolgreich durchgeführt."
"The amount to be refunded is invalid.","Der zu erstattende Betrag ist nicht korrekt."
"Refund successfully completed.","Le remboursement a bien été effectué."
"Maximum refund amount","Maximaler Betrag, der erstattet wird"
"* The financing fees will be calculated according to your deferral period.", "* Die Finanzierungskosten werden entsprechend Ihrer Aufschubzeit berechnet."
"Up to", "Bis um"
"of fees*", "Gebühren*"
"Place Order", "Jetzt kaufen"
