"<div class=""floa-payment-logo""></div><div class=""floa-payment-text"">With the FLOA PAY solution, your customers can easily split their purchase into monthly payments while you receive funding upfront and in full.<br />Quick and easy to use, the FLOA PAY is a secure, paperless payment solution which works as simply as paying with a credit card at a point of sale.</div>","<div class=""floa-payment-logo""></div><div class=""floa-payment-text"">Avec la solution de paiement FLOA Pay, vous pouvez proposer à vos clients le paiement fractionné tout en étant financé immédiatement du montant total de la transaction.<br />Simple et rapide, FLOA Pay est une solution de paiement dématérialisée et sécurisée, qui ne nécessite pas de changer de carte bancaire.</div>"
"You can find more informations on website <a href=""https://floapay.readme.io/reference"" target=""_blank"">ReadMe FLOA Pay</a> about merchant configuration.", "Vous pouvez trouver plus d'informations sur le site Web <a href=""https://floapay.readme.io/reference"" target=""_blank"">ReadMe FLOA Pay</a> concernant la configuration du marchand."
"Merchant Login","Identifiant marchand"
"Merchant Password","Mot de passe marchand"
"Merchant Code","Code marchand"
"Environment","Environnement"
"Payment methods","Méthodes de paiement"
"Payment in 1 deferred monthly payment","Paiement en 1 mensualité différée"
"Payment in 3 monthly installments","Paiement en 3 mensualités"
"Payment in 4 monthly installments","Paiement en 4 mensualités"
"Payment in 10 monthly installments","Paiement en 10 mensualités"
"Production","Production"
"Integration","Intégration"
"Merchant Site ID","Code guichet"
"Report mode","Type de report"
"Report delay", "Délai de report"
"Customer", "Client"
"Merchant", "Marchand"
"Your transaction", "Votre transaction"
"Total amount", "Montant total"
"including", "dont"
"of fees", "de frais"
"Your payment schedule", "Votre échéancier"
"no fees", "Aucun frais"
"At", "Le"
"Between", "Entre le"
"and", "et le"
"Pay in multiple times with ", "Paiement en plusieurs fois avec"
"Desired payment date", "Date de paiement souhaitée"
"Your payment date must be between the day after your purchase and 30 days later.", "Votre date de paiement doit être comprise entre le lendemain de votre achat et 30 jours plus tard"
"By validating this information, you have used your respected data with a final assessment of your eligibility for payment in severals installments.", "En validant ces informations, vous acceptez que vos données soient utilisées aux fins d'évaluation à votre éligibilité au paiement en plusieurs fois."
"Please complete this information to verify your eligibility.", "Veuillez renseigner ces informations pour vérifier votre éligibilité."
"More information here", "Plus d'informations ici"
"Civility", "Civilité"
"M.", "Monsieur"
"Mrs", "Madame"
"Birth name", "Nom de naissance"
"Your maiden name should not exceed 64 characters", "Votre nom de naissance ne doit pas dépasser 64 caractères"
"Phone number", "Téléphone"
"Your date of birth", "Date de naissance"
"Your postal code of birth", "Code postal de naissance"
"Your birth date must be valid in the format « DD/MM/YYYY » and your birth postal code must consist of 5 digits without spaces (99 in the case of a foreign country)", "Votre date de naissance doit être valide au format « JJ/MM/AAAA » et votre code postal de naissance doit être composé de 5 chiffres sans espaces (99 dans le cas d'un pays de naissance à l'étranger)."
"Your birth postal code must consist of 5 digits without spaces.", "Votre code postal de naissance doit être composé de 5 chiffres sans espaces (99 dans le cas d'un pays de naissance à l'étranger)."
"Phone number is invalid.", "Le numéro de téléphone est invalide."
"Civility is invalid.","La civilité est invalide."
"Civility is mandatory.","La civilité est obligatoire."
"Birth date is invalid.","La date de naissance est invalide."
"Birth date is mandatory.","La date de naissance est obligatoire."
"Your postal code of birth must be composed of 5 digits without spaces (99 in the case of a country of birth abroad)","Votre code postal de naissance doit être composé de 5 chiffres sans espaces (99 dans le cas d'un pays de naissance à l'étranger)"
"Please enter a valid phone number.","Veuillez entrer un numéro de téléphone valide."
"You must be over 18 years old.","Vous devez avoir plus de 18 ans."
"Maiden name is invalid.","Le nom de naissance n'est pas valide."
"Maiden name is mandatory.","Le nom de naissance est obligatoire."
"Payment date is invalid.","La date de paiement est invalide."
"By validating this information, you agree that your data will be used for the purpose of evaluating your eligibility for payment in installments.","Je reconnais que mes données personnelles seront traitées par FLOA aux fins d’instruction de ma demande de prêt, de gestion de crédit et, le cas échéant, de recouvrement. Pour plus d’informations,"
"More information here.","cliquez ici."
"To continue, you must agree to your personal data being processed by FLOA.","Pour continuer, vous devez accepter que vos données personnelles soient traitées par FLOA."
"By validating your choice of payment, you have read and accept the general conditions of payment in installments of FLOA.","En choisissant ce mode de paiement, vous acceptez les"
"See here.","conditions générales de paiement fractionné de FLOA."
"To continue, please accept the terms and conditions.","Pour continuer, veuillez accepter les termes et conditions."
"An error has occurred, please try again in a few moments...","Une erreur s'est produite, veuillez réessayer dans quelques instants..."
"Sorry, your financing request was not accepted by Floa Bank.","Désolé, votre demande de financement n'a pas été acceptée par Floa Bank."
"The financing is fully managed by Floa Bank which reserves the right of refusal according to its own rules.","Le financement est entièrement géré par Floa Bank qui se réserve le droit de refus selon ses propres règles."
"The reason for refusal cannot be be communicated to you because of banking secrecy.","Le motif du refus ne peut vous être communiqué en raison du secret bancaire."
"Successfully created Floa Bank Payment. Redirecting customer & awaiting payment return.","Paiement Floa Bank créé avec succès. Redirection du client et attente du retour paiement."
"Payment captured","Paiement capturé"
"Payment anthorization accepted","Anthorisation de paiement acceptée"
"Capture payment required","Capture du paiement requise"
"Order payment refused","Paiement refusé"
"Order is canceled","La commande est annulée"
"There was an error when validating your payment. Please try again or contact us if the problem persists.","Une erreur s'est produite lors de la validation de votre paiement. Veuillez réessayer ou nous contacter si le problème persiste."
"Bad request","Requête invalide"
"No schedules found...", "Echéancier introuvable..."
"Rank","Rang"
"Date","Date"
"Due amount", "Montant"
"State", "Etat"
"Fees amount", "Montant des frais"
"FLOA Pay order reference", "Référence FLOA Pay"
"FLOA Pay Payment information", "Informations de paiement FLOA Pay"
"This is a required field.", "Ce champ est requis."
"Technical error on Floa Bank payment validation", "Erreur technique lors de la validation du paiement FLOA Bank"
"PLEASE NOTE, payment capture has not yet been performed for this order.","ATTENTION, la capture du paiement n'a pas encore été effectuée pour cette commande."
"Capture payment","Capturer le paiement"
"Make refund","Effectuer un remboursement"
"Refunds","Remboursements"
"Schedules","Echéancier"
"Order successfully captured.", "Mise en paiement effectuée avec succès."
"The amount to be refunded is invalid.","Le montant à rembourser est incorrect."
"Refund successfully completed.","Le remboursement a bien été effectué."
"Maximum refund amount","Montant maximum de remboursement"
"* The financing fees will be calculated according to your deferral period.", "* Les frais de financement seront calculés selon votre période de report."
"Up to", "Jusqu'à"
"of fees*", "de frais*"
"Place Order", "Passer la commande"
"without fees", "sans frais"
"Pay in", "Payez en"
"Your payment in several time", "Votre paiement en plusieurs fois"
"for an amount of", "d'un montant de"
"For this purchase, you can pay in :", "Pour cet achat, vous pouvez payer en :"
"Deferred payment", "Paiement différé"
"Payment in", "Paiement en"
"Pay today", "Paiement aujourd'hui"
"Pay today :", "A payer aujourd'hui :"
"Followed by 9 monthly payments", "Suivi de 9 mensualités"
"Today", "Aujourd'hui"
"Total:", "Total :"
"Including fees:", "Dont frais :"
"How it works ?", "Comment ça marche ?"
"At checkout choose FLOA", "Au moment du paiement choisissez FLOA"
"Enter your bank details on the secure FLOA platform", "Saisissez vos coordonnées bancaires sur la plateforme sécurisée FLOA"
"And that's it. As easy as paying cash.", "Et voilà. Aussi simple qu'un paiement comptant."
"You get an immediate response.", "Vous disposez d'une réponse immédiate"
"Subject to acceptance by FLOA. You have a withdrawal period.", "Sous réserve d’acceptation par FLOA. Vous disposez d’un délai de rétractation."
"Consult the", "Pour en savoir plus,"
"conditions here", "cliquez ici"
"PAYLATER", "PAYLATER"